0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15
-0.90913796,0.64673704,-1.1876014,0.65403354,1.5074271,0.63096136,0.92424756,-0.7198262,0.046764404,-0.5941834,0.509562,-0.41627008,-1.490473,0.7829971,-0.48485905,-0.17057818
-0.51501304,1.3813097,0.27400464,1.2362499,0.6439971,-0.10716902,1.1050494,1.0138738,1.2945935,-1.1561465,0.78786206,1.5933743,0.4039691,0.3423075,-0.20520781,-0.66782886
0.82923675,0.4106882,0.31352603,0.7895681,-1.8169289,-1.3333898,-0.60974014,0.48500848,0.6912727,-2.1294394,1.0990194,-0.26911733,1.0885006,0.24279453,0.3844544,0.21193297
-1.365587,-0.060276408,0.52222395,0.8902115,-1.1473339,-0.65477794,-0.21515763,0.23271057,-0.37010986,-0.23314543,-1.105264,0.047512237,0.67673844,-1.7070003,-0.47039253,0.07495351
1.0686319,-2.6204262,-1.900666,-1.5354695,0.11983949,1.6306847,1.008239,-1.4980386,-0.22363368,1.2297583,-1.1506732,1.1594056,-2.7249463,-1.7977688,-0.8774352,-0.29321435
1.0106039,-1.8031354,-0.70248187,-0.62036127,0.1497098,2.3223116,-1.0937773,-2.460144,1.6466428,-1.0593257,-1.2672586,0.97938573,-2.276108,0.1620701,0.37474355,1.901467
1.0290706,2.8170035,-0.8266032,1.0267539,1.0350273,-1.0318333,0.9257136,-0.15873685,0.39551264,0.27343953,1.3097341,0.64160365,0.45997116,0.55403334,-0.24561739,0.09324634
-1.0696837,1.1700644,0.38279223,0.6990635,0.01638578,-1.2946101,0.7203041,0.25091493,-0.79389703,-0.31736115,1.8442701,-1.7353857,1.7022138,1.45983,0.9154598,-0.4920939
1.0745803,-0.78938895,1.6208947,-1.2150073,0.6009247,-1.0849612,1.4039774,-0.24327788,-2.4684362,1.6062721,-1.4364872,-1.4385589,1.141285,0.048724815,-0.8894034,-1.4653836
-1.2812929,-1.0313188,-2.1063626,0.7273826,0.6926625,0.7790563,0.6943836,-1.2242007,0.267413,-0.06867633,0.7169039,0.3446863,-1.2219312,-0.9589892,0.24341413,0.6352589
-1.1419098,0.050366472,0.53645384,0.34612057,-0.53253,-0.45473695,-0.3023498,-0.23308922,-0.41378218,0.74082345,1.4185168,-1.522136,0.96844125,0.45692053,0.9155294,-0.45678076
-1.3461354,-0.23028442,1.3965956,-0.95156944,1.3322008,-1.0127499,-1.042474,0.8983924,0.91516113,-0.16719036,-2.3101642,1.5042948,-0.1726507,-0.5357953,-0.8923297,0.80286545
1.1417029,-0.3977281,1.1478851,0.08897369,2.5615027,-0.8340512,2.3573644,-0.10024232,-1.5091745,0.9737826,-0.9404897,0.21711317,1.198044,1.3071694,-0.7646814,-1.5713447
1.2199707,1.1062689,-0.954782,0.13805714,0.056761697,0.1707836,-1.8282721,0.842842,2.762545,-2.3311644,-0.35141435,1.8771105,-0.31380773,0.55151725,0.66256374,1.9455515
-0.5837078,-2.0825036,0.061973467,-1.7806815,-1.0184298,0.9662555,-0.2939957,-1.3061177,0.040339302,1.8652818,-1.671484,2.2374613,-2.2563958,-2.1323524,-1.1295826,1.5440843
-0.7601195,0.10550441,2.175543,0.060653802,1.5850985,-0.6492016,0.8863675,0.8047753,-2.8864655,0.42119244,-0.3809416,-0.97433895,0.7561756,-0.2745666,0.37302765,-1.5566465
